-,(- [数值 数值] ...),将第一个数减去其他数的和并返回差值,33,1,-1
~,(~ int),返回参数的按位非（即 1 的补码）,33,1,1
+,(+ [number number] ...),返回所有数的和,33,1,-1
=,(= numstr [numstr] ...),比较参数是否相等,33,1,-1
*,(* [number number] ...),返回所有数的乘积,33,1,-1
/,(/ [number number] ...),将第一个数除以其他数的乘积并返回商,33,1,-1
1+,(1+ number),将参数加 1,33,1,1
<,(< numstr [numstr] ...),如果每个参数值都小于它右边的参数则返回 T，否则返回 nil,33,2,-1
<=,(<= numstr [numstr] ...),如果每个参数值都小于或等于它右边的参数则返回 T，否则返回 nil,33,2,-1
>,(> numstr [numstr] ...),如果每个参数值都大于它右边的参数则返回 T，否则返回 nil,33,2,-1
>=,(>= numstr [numstr] ...),如果每个参数值都大于或等于它右边的参数则返回 T，否则返回 nil,33,2,-1
abs,(abs number),返回参数的绝对值,33,1,1
acad_colordlg,(acad_colordlg colornum [flag]),显示标准的 AutoCAD 颜色选择对话框,33,1,2
acad_helpdlg,(acad_helpdlg helpfile topic),启动帮助工具（已废弃）,33,2,2
acad_strlsort,(acad_strlsort list),以ASCII码字母顺序对字符串表进行排序,33,1,1
action_tile,(action_tile key action-expression),为某一对话框控件指定一个动作表达式，用户在对话框中选中这个控件时，就会执行该动作表达式,33,2,2
add_list,(add_list string),在当前激活的对话框的列表框中增加一个字符串或修改其中的一个字符串,33,1,1
ads,(ads),此函数将返回一串目前装入的AutoCAD高级开发系统(ADS)应用程序。每一个应用程序和它的路径在这个表中都是一个以引号括起来的字符串。,33,0,0
alert,(alert string),显示一个警告框，其中显示一条出错或警告信息,33,1,1
alloc,(alloc n-alloc),设置段长度以供 expand 函数使用,33,1,1
and,(and [expr ...]),返回表达式的逻辑与 (AND) 运算结果,33,-1,-1
angle,(angle pt1 pt2),以弧度为单位返回两点之间连线与当前 UCS 下 X 轴之间的夹角,33,2,2
angtof,(angtof string [units]),将表示角度的字符串转换为实数（浮点数）形式的弧度值,33,1,2
angtos,(angtos angle [unit [precision]]),将一个以弧度为单位的角度值转换成字符串,33,1,3
append,(append [list ...]),将任意多个表组合成一个表,33,1,-1
apply,(apply 'function list),传递一个列表作为指定函数的参数，并执行该函数,33,2,2
arxload,(arxload application [onfailure]),加载 ObjectARX 应用程序,33,1,2
arxunload,(arxunload application [onfailure]),卸载 ObjectARX 应用程序,33,1,2
ascii,(ascii string),将字符串中的第一个字符转换成其 ASCII 码(整数)后返回,33,1,1
assoc,(assoc element alist),从关联表中搜索一个元素，如果找到则返回该关联表条目,33,2,2
atan,(atan num1 [num2]),返回一个数的反正切值（以弧度为单位）,33,1,2
atof,(atof string),将一个字符串转换成实数,33,1,1
atoi,(atoi string),将一个字符串转换成整数,33,1,1
atom,(atom item),验证一个项是否是原子,33,1,1
autoarxload,(autoarxload filename cmdlist),预定义可自动加载某相关 ObjectARX 应用程序的命令名,33,2,2
autoload,(autoload filename cmdlist),预定义可自动加载某相关 AutoLISP 应用程序的命令名,33,2,2
autoxload,(autoxload filename cmdlist),此函数是事先定义命令名称来装入一已连接的 ADS 应用程序。,33,2,2
/=,(/= numstr [numstr] ...),比较参数是否值不相等,33,2,-1
boole,(Boole operator int1 [int2 ...]),用作一个通用的按位逻辑运算函数,33,2,4
boundp,(boundp sym),检验符号是否被设置为某个值,33,1,1
car,(car list),返回表的第一个元素,33,1,1
cdr,(cdr list),返回去掉了第一个元素的表或点对表的第二个元素,33,1,1
chr,(chr integer),将代表字符 ASCII 码的整数转换成包含相应的单一字符的字符串,33,1,1
client_data_tile,(client_data_tile key clientdata),将特定应用数据与一个对话框控件相关联,33,2,2
close,(close file-desc),关闭一个已打开的文件,33,1,1
command,(command [arguments] ...),执行一条 AutoCAD 命令,33,0,-1
cond,(cond [(test result ...) ...]),多条件、多处理结果函数,33,1,-1
cons,(cons new-first-element list-or-atom),向表的头部添加一个元素，或构造一个点对,33,2,2
cos,(cos ang),返回弧度角度的余弦值,33,1,1
cvunit,(cvunit value from-unit to-unit),在不同测量单位之间进行换算,33,3,3
defun,(defun sym ([arguments] [/ variables...]) expr...),定义函数,33,-1,-1
dictadd,(dictadd ename symbol newobj),在指定词典内添加非图形对象,33,3,3
dictnext,(dictnext ename [rewind]),查找词典中的下一个条目,33,1,2
dictremove,(dictremove ename symbol),从指定词典中删除一个条目,33,2,2
dictrename,(dictrename ename oldsym newsym),重命名词典条目,33,3,3
dictsearch,(dictsearch ename symbol [setnext]),在词典中搜索某个项,33,2,3
dimx_tile,(dimx_tile key),返回控件的宽度,33,1,1
dimy_tile,(dimy_tile key),返回控件的高度,33,1,1
distance,(distance pt1 pt2),返回两个点之间的距离,33,2,2
distof,(distof string [mode]),将一个表示实（浮点）数的字符串转换成一个实数,33,1,2
done_dialog,(done_dialog [status]),中断对话框,33,0,1
end_image,(end_image),结束当前激活的对话框图像控件的操作,33,0,0
end_list,(end_list),结束对当前激活的对话框列表的操作,33,0,0
entdel,(entdel  ename),删除对象（图元）或恢复先前删除的对象,33,1,1
entget,(entget ename [applist]),获得对象（图元）的定义数据,33,1,2
entlast,(entlast),返回图形中最后那个未删除的主对象（图元）名称,33,0,0
entmake,(entmake [elist]),在图形中创建一个新图元,33,0,1
entmakex,(entmakex [elist]),创建一个新对象或图元，赋给它一个句柄和图元名（但不指定所有者），并返回新图元的名称,33,0,1
entmod,(entmod elist),修改对象（图元）的定义数据,33,1,1
entnext,(entnext [ename]),返回图形中的下一个对象（图元）名,33,0,1
entsel,(entsel [msg]),提示用户通过指定一个点来选择单个对象（图元）,33,0,1
entupd,(entupd ename),更新对象（图元）的屏幕显示,33,1,1
eq,(eq expr1 expr2),确定两个表达式是否具有相同的约束条件,33,2,2
equal,(equal expr1 expr2 [fuzz]),确定两个表达式的值是否相等,33,2,3
*error*,(*error* string),可由用户定义的错误处理函数,33,1,1
eval,(eval expr),返回 AutoLISP 表达式的求值结果,33,1,1
exit,(exit),强行使当前应用程序退出,33,0,0
exp,(exp num),返回常数 e (2.718282...) 的指定次幂（自然反对数）,33,1,1
expand,(expand n-expand),为 AutoLISP 分配附加空间,33,1,1
expt,(expt number power),返回以某指定数为底数的若干次幂的值,33,2,2
fill_image,(fill_image x1 y1 width height color),在当前激活的对话框图像控件中画一个填充矩形,33,5,5
findfile,(findfile filename),在 AutoCAD 库路径中搜索指定文件或目录,33,1,1
fix,(fix number),截去实数的小数部分，将它转换成整数后返回该整数,33,1,1
float,(float number),将一个数转换为实数后返回,33,1,1
foreach,(foreach name list [expr...]),将表中的所有成员以指定变量的身份带入表达式求值,33,3,-1
gc,(gc),强制收集无用数据，释放不再使用的节点,33,0,0
gcd,(gcd int1 int2),返回两个整数的最大公约数,33,2,2
getangle,(getangle [pt] [msg]),暂停以等待用户输入角度，然后以弧度形式返回该角度,33,0,2
get_attr,(get_attr key attribute),获取对话框指定控件的某个属性值,33,2,2
getcfg,(getcfg cfgname),从 acad.cfg 文件的 AppData 段中检索应用数据,33,1,1
getcname,(getcname cname),获取 AutoCAD 命令的本地化名或英文名,33,1,1
getcorner,(getcorner pt [msg]),暂停等待用户输入矩形第二个角点的坐标,33,1,2
getdist,(getdist [pt] [msg]),暂停以等待用户输入距离,33,0,2
getenv,(getenv variable-name),以字符串方式返回指定的环境变量的值,33,1,1
getfiled,(getfiled title default ext flags),用标准的 AutoCAD 文件对话框提示用户输入一个文件名，并返回该文件名,33,4,4
getint,(getint [msg]),暂停以等待用户输入一个整数并返回该整数,33,0,1
getkword,(getkword [msg]),暂停以等待用户输入一个关键字并返回该关键字,33,0,1
getorient,(getorient [pt] [msg]),暂停以等待用户输入角度，并返回该角度,33,0,3
getpoint,(getpoint [pt] [msg]),暂停以等待用户输入点，并返回该点,33,0,3
getreal,(getreal [msg]),暂停以让用户输入一个实数并返回该实数,33,0,1
getstring,(getstring [cr] [msg]),暂停以等待用户输入字符串，并返回该字符串,33,0,3
get_tile,(get_tile key),获取对话框指定控件的当前运行时的值,33,1,1
getvar,(getvar varname),获取一个 AutoCAD 系统变量的值,33,1,1
graphscr,(graphscr),显示 AutoCAD 图形屏幕,33,0,0
grclear,(grclear),清除当前视口（已废弃）,33,0,0
grdraw,(grdraw from to color [highlight]),在当前视口中的两个点之间显示一条矢量线,33,3,4
grread,(grread [track] [allkeys [curtype]]),从 AutoCAD 的任何一种输入设备中读取数值,33,0,3
grtext,(grtext [box text [highlight]]),将文本写到状态行或屏幕菜单区,33,0,4
grvecs,(grvecs vlist [trans]),在图形屏幕上绘制多个矢量,33,1,2
handent,(handent handle),根据对象（图元）的句柄返回它的对象（图元）名,33,1,1
if,(if testexpr thenexpr [elseexpr]),根据对条件的判断结果，对两个表达式求值,33,2,3
initget,(initget [bits] [string]),为随后的用户输入函数调用创建关键字,33,0,2
inters,(inters pt1 pt2 pt3 pt4 [onseg]),求两条直线的交点,33,4,5
itoa,(itoa int),将整数转换成字符串，并返回转换结果,33,1,1
lambda,(lambda arguments expr...),定义无名函数,33,2,-1
last,(last lst),返回表的最后一个元素,33,1,1
length,(length lst),以整数形式返回表中元素的数目,33,1,1
list,(list [expr...]),将任意数目的表达式组合成一个表,33,-1,-1
listp,(listp item),检查某个项是否是表,33,1,1
load,(load filename [onfailure]),"此函数将装入一个包含AutoLISP表达式的文件, 同时判别这些表达式。filename是一个代表文件名称的字符串, 而且不须加上扩展名(因为扩展名.lsp是自动设定)。",33,-1,-1
load_dialog,(load_dialog dclfile),加载 DCL 文件,33,1,1
log,(log num),返回一个实数的自然对数,33,1,1
logand,(logand [int int...]),返回一个整数表中的各数按位逻辑与 (AND) 的结果,33,0,-1
logior,(logior [intint...]),返回一个整数表中的各数按位逻辑或 (OR) 的结果,33,0,-1
lsh,(lsh int numbits),返回某整数作指定次逻辑移位后的结果,33,2,2
mapcar,(mapcar 'function list1... listn),循环取list1至listn相同位置的元素同时作为function的参数进行求值，并将求值结果构成的表返回,33,2,-1
max,(max [number number...]),返回给定各数中的最大者,33,1,-1
mem,(mem),显示 AutoLISP 内存的当前状态,33,0,0
member,(member expr lst),搜索表中是否包含某表达式，并从该表达式的第一次出现处返回表的其余部分,33,2,2
menucmd,(menucmd string),发出菜单命令，或设置并检索菜单项状态,33,1,1
menugroup,(menugroup groupname),检查是否加载了指定的菜单组,33,1,1
min,(min [number number...]),返回给定各数中的最小者,33,1,-1
minusp,(minusp num),检查某个数是否是负数,33,1,1
mode_tile,(mode_tile key mode),设置对话框控件的状态,33,2,2
namedobjdict,(namedobjdict),返回当前图形的命名对象词典的图元名，它是所有非图形对象的根,33,0,0
nentsel,(nentsel [msg]),提示用户指定点来选择对象（图元），得到这个对象所指片段的对象名,33,0,1
nentselp,(nentselp [msg] [pt]),在没有用户输入的情况下，本函数的功能与 nentsel 函数类似,33,0,2
new_dialog,(new_dialog dlgname dcl_id [action [screen-pt]]),开始一个新的对话框并显示该对话框，而且能指定一个缺省操作,33,2,4
not,(not item),检查一个项的求值结果是否为 nil,33,1,1
nth,(nth n lst),返回表中的第 n+1 个元素,33,2,2
null,(null item),检查某项的值是否设置为 nil,33,1,1
numberp,(numberp item),检查某个项是否是实数或整数,33,1,1
open,(open filename mode),打开一个文件，供其他 AutoLISP I/O 函数访问,33,2,2
or,(or [expr...]),返回对表达式进行逻辑或 (OR) 运算的结果,33,1,-1
osnap,(osnap pt mode),将某种对象捕捉模式作用于指定点而获得一个点，并返回该点,33,2,2
polar,(polar pt ang dist),在 UCS 坐标系下，求某点的指定角度和指定距离处的点，并返回该点,33,3,3
princ,(princ [expr [file-desc]]),在命令行打印表达式，或将表达式写入已打开的文件中,33,0,2
print,(print [expr [file-desc]]),在命令行打印表达式，或将表达式写入已打开的文件中,33,0,2
progn,(progn [expr]...),顺序地对每一个表达式进行求值，并返回最后那个表达式的值,33,-1,-1
prompt,(prompt msg),在屏幕提示区显示一个字符串,33,1,1
quit,(quit),强制退出当前应用程序,33,0,0
quote,(quote expr),返回表达式而不对其求值,33,1,1
read,(read [string]),返回字符串中的第一个表或第一个原子,33,0,1
read-line,(read-line [file-desc]),从键盘或已打开文件中读取行结束符前的字符串,33,0,1
redraw,(redraw [ename [mode]]),重画当前视口或当前视口中的一个指定对象（图元）,33,0,2
regapp,(regapp application),为当前 AutoCAD 图形注册一个应用名，为使用扩展对象数据作准备,33,1,1
rem,(rem [number number...]),将第一个数除以第二个数，并返回余数,33,2,-1
repeat,(repeat int [expr...]),对循环体中的每一个表达式进行指定次数的求值计算，并返回最后一个表达式的值,33,2,-1
reverse,(reverse lst),将表的元素顺序倒置后返回,33,1,1
rtos,(rtos number [mode [precision]]),将数字转换成字符串,33,1,3
set,(set sym expr),将引号中的符号名的值设置成一个表达式的值,33,2,2
setcfg,(setcfg cfgname cfgval),将应用数据写到 acad.cfg 文件的 AppData 段中,33,2,2
setfunhelp,(setfunhelp c:fname [helpfile [topic [command]]]),给帮助工具注册一个用户定义函数，这样，用户在请求该命令的帮助时，就会调用正确的帮助文件和主题,33,1,4
